City,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
386,Boundiali,9.5217,-6.4869,86.9,13,0,4.34,CI
387,Chanika,-5.4167,38.0167,70.21,99,86,4.76,TZ
388,Garden City,42.3256,-83.331,39.2,75,90,11.5,US
389,Broome,42.2506,-75.833,36.0,74,90,17.27,US
390,Ribeira Brava,32.65,-17.0667,57.99,76,38,6.93,PT
391,Pucallpa,-8.3791,-74.5539,84.2,74,75,9.22,PE
392,Lima,-12.0432,-77.0282,77.0,68,0,13.8,PE
393,Boldva,48.2167,20.8,21.99,73,40,1.14,HU
394,Sittwe,20.15,92.9,65.39,70,0,4.12,MM
395,Yenagoa,4.9247,6.2642,80.53,78,43,6.08,NG
396,Staritsa,56.5075,34.9354,-8.66,90,0,0.87,RU
397,Taltal,-25.4,-70.4833,70.27,59,6,5.12,CL
398,Petropavlovsk-Kamchatskiy,53.0452,158.6483,17.6,86,90,4.47,RU
399,Vardø,70.3705,31.1107,33.8,86,40,16.11,NO
400,Jalingo,8.8833,11.3667,83.71,16,34,3.89,NG
401,Gunjur,13.2019,-16.7339,82.4,32,89,11.5,GM
402,Santa Cruz de la Sierra,-17.8,-63.1667,68.0,100,90,17.27,BO
403,Natchez,31.5604,-91.4032,55.4,44,1,9.22,US
404,Hualmay,-11.0964,-77.6139,76.08,66,42,13.89,PE
405,Mkwanga,-7.118,39.2078,80.6,83,20,20.71,TZ
